2024-04-25             12,51239              8,72214             12,36086              8,12222             11,42387             12,15310             11,69973              9,07979             14,33851             13,58833              6,60591              7,30849              8,08210              7,96083             11,54079             14,90772             12,30177             14,00171              6,78765             14,88234              9,00650             14,41288             14,15342              8,25050              6,03311              6,76395              7,88073              9,12482             14,17666             10,76644              9,66675              7,46547             11,93965              9,33346             10,20073
2024-04-26              7,05975             13,45864             12,24464             13,00499             11,98104              6,71771              7,46264             10,84307             10,04524             12,14570             14,74826             11,92205             11,48294              9,23395              9,26887             11,08461             10,09352             10,21226              9,89836             14,60350              8,48618              9,46592              7,53697              5,94098             13,45954             11,57215              8,03436             14,48248             14,67479             12,56193              9,95473             14,39262             11,28231             11,22183             10,79031
2024-04-27              7,86807             11,86762              7,59526             13,60106             14,17361             11,59595              9,75673             11,40794              8,76047             12,71240             14,97412             14,73429             14,89657             12,02383             12,68934             14,87551             13,15228              5,88034              5,24441             10,90467              6,39102              6,58354              9,27900             10,70270              7,66596              7,73714             13,87209             11,96042              8,40827             11,04667             13,59574             12,13316             14,62437              6,44696              5,18827
2024-04-28             12,02233              8,59241             14,47569              8,50706             11,04513             14,25934             12,15610              6,66109             11,59562             11,70855             10,54502             12,65091             12,76031              6,12266              9,60977             14,63159             13,85396              7,94338             13,14431             14,94155              6,33101             10,27982              8,11823             12,62394              5,70524             14,89138             12,04689             10,46457              5,88466              7,68164              7,23686              7,44711             10,47612             14,62706             11,78033
2024-04-29              7,91099             14,90061             12,78369             13,94443             13,46588              8,70516             12,60794             11,95915              9,87685             11,74016             12,03672              5,53043              5,19265             13,92328              7,66928              7,85044              6,42944             13,76856              7,34664              5,06981             12,74895              7,12463              8,47547              9,34864              6,64716             11,72593             14,15221              7,84665              9,91057              5,09737              9,52019             13,37944              8,71930              7,06216             13,28984
2024-04-30             12,60093             13,13935             12,93323              8,24320              9,98828             10,81549             12,69950              5,21676             12,31330             11,32946             11,94911             14,37439             11,90620              5,86169             13,18684              8,80675             14,08015             13,79544              7,50947              9,45206              8,66952              5,20337              5,82870              5,89588              7,56553             10,69915              7,61884              8,34116              5,06088             14,68009              6,22629              6,72076             14,07675              7,80996              9,65599
2024-05-01             13,74678             14,41771             13,40472             14,17166              8,14919              6,87672              5,33115              6,69504              7,56632              9,26149             10,27372             14,64879             11,22942              9,57965              5,43243              6,11352             11,06764             13,84803              8,26986             13,87830              7,34112             13,10033              6,80895              5,75188             11,53255             10,62584              9,13320             11,62054              6,44572              5,10589             14,38323             11,71711             14,61602              9,25845              9,54383
2024-05-02             14,12219             12,19070              8,43624             14,95496             10,37094              6,88341             12,47976              5,86619             13,01179              8,84178              5,58654             13,49092             14,28065             13,53517             14,49368              5,90531             10,32244             12,67215              8,07654             11,00781             12,70661             10,27064              7,52045             10,15864              6,45592             11,03551              9,96814             12,47242              6,58497             10,00639             11,91184              9,96652              9,45208              8,22412              5,46828
2024-05-03             12,31241              8,45668             10,93622             14,95410              7,28769              9,04424             12,73592             12,48314             12,38603              7,35770             14,59216              6,97145              7,86683              5,47457             10,06542             14,64678             13,02495              7,64757              7,93437             10,56638             14,89611              7,18225             14,63844              5,23281              7,03711             12,00414             10,02458              9,77226              8,94114              6,21331             10,93631              7,43071              9,32692              5,75579             14,13982
2024-05-04             14,26822             11,86845              7,84866             11,29106              9,99731              8,04179              9,00231              8,94777              7,91197              7,58651             14,63304              5,49389              9,44106              8,77764              6,25411             10,63535              8,60386              8,59520              9,52001             10,53712             13,03307             12,61300              9,33798              6,05021              7,36999              7,07799              5,34375             13,64497             10,05173              6,01601             14,04618             13,79244              9,94813              8,12472             12,83782
2024-05-05              5,34204             10,23597             10,44711             13,74502             12,14950              9,98895             13,01479              8,94576             13,90236              7,03763             13,80939              5,30122              5,33550             12,43006             13,85937              7,04096             14,37012             11,97079              6,72985              5,00803              5,92244              9,19752              7,07094             14,37725             13,15875             14,73739             12,62747             13,78862             13,54481              8,70955              9,04708             10,90248             12,68471             12,87946             14,64286
2024-05-06             13,92599             10,77374              5,15407              5,48449             14,70513             13,51266             13,95921             12,45269              9,34940              8,69596             12,93495             14,09058              9,42693              7,43775              5,94044             11,80325              8,63350              7,21857             11,22044             13,52316             11,44648             10,38275              8,69656              9,39463             14,37446              5,74549              8,50960             12,85449             10,68842             14,23497              9,13585             11,92495             13,41842             11,23198              5,16437
2024-05-07              7,99707              8,46722              7,68660             11,23497             12,31481             13,01634              7,63423             14,03112             11,78372             14,36716              9,25833              5,53582              5,19599              5,94059             12,38308              6,50123             10,71018             11,61745              9,23093             12,25730              9,91662              9,59886             14,06895             12,94805              5,47765             13,07073              7,43113              9,49720             14,14047              7,01164              6,72707              5,03536              5,71754              7,79117             12,22846
2024-05-08             13,29716              7,70033              5,97520              8,86823             10,59015              9,50263              9,33179              5,77972             12,28478              5,18453             11,49610              9,70367             12,95714              5,88916              6,39530             14,04559              9,40799              8,07845              6,92555             13,62148             14,13289              5,69929              8,23354             11,86475             12,24763              9,86251             12,27081              7,77911             14,65897              6,11895             12,31640             13,58323              9,13228             10,55641              9,73700
2024-05-09             14,49908             12,33901              5,40500             12,28231             11,27938              8,97489             10,39169              7,10269              6,66338              5,45804             13,48041             14,51696              6,01428             11,31462             13,08695              6,81556             14,30968              9,22994             13,38597              7,94158              9,94706             14,74549              5,09398              5,28013              7,27441             14,03490             10,67351             13,34844              9,62521              5,00018             13,11602             14,58528              7,09177              8,25236              8,87387
2024-05-10             12,22929              6,61691             12,29914             12,56558              8,18117              5,91717              5,28757             14,64055             13,51486             10,86947             13,69410              6,20940              7,51090             14,96382              8,09426              6,87717             12,60355              7,76053              6,62275              8,17117              6,81343              5,71973             10,44268             11,53758             12,19532             14,53832             10,17665              9,06285             12,15209             12,34724              9,67181              5,52347              6,59206             10,72116              9,22134
2024-05-11              8,24945             11,35673             12,28768              8,53594              8,25802             10,15484              8,01261             12,02967             11,38496              8,91666              8,90346              5,63416             13,76536             14,27713             11,81085              9,53900             13,94253              5,03292              8,77657              5,97941             13,78975              6,08667             13,03780             11,37858              8,80331             10,34332              8,15367             12,39658             10,20419              8,17661             12,58830             14,00134              9,05692             14,86527              9,49371
2024-05-12              5,47974             14,90522              6,74007              7,13615             11,46963             13,40606             14,29484              7,16545             11,28533             14,21088             11,24382              7,16971              8,69770             10,17710             13,17475             10,29330             10,41953              6,09154             14,97555             13,75635             10,36739             12,96125              7,71087              7,83427             12,53085              8,48420             12,31931             14,76355             14,18412              7,50424             11,93037             11,46699             11,13274             13,92333              9,79277
2024-05-13              5,34294              9,30323             13,68445             10,84200              6,17434             11,35959             13,08925             12,77069             10,45635             14,94801             13,94234              9,61629             12,95333              7,90226             12,66521             10,97947              7,41816             13,77465              6,90083              5,17609             12,78674             14,25584             14,21216              7,39768              8,94204             11,59926              8,46998              5,96414              8,40103              5,24019             12,90215              6,39924              6,34167             10,48565              7,12506
2024-05-14             11,83670             10,04203              8,15343              7,10126             12,47972             13,80352              8,54204             10,65320             14,94974              7,00385              6,48001             10,20059             11,55530              9,36780              6,87585              9,40196              6,97165             10,89078             11,66722             13,25438              9,09783             14,14615              9,48812             14,24087             10,79283              8,47859              5,44961              5,62674              9,88441             10,62074             11,53821             10,54911             14,96405             11,22949              5,79255
2024-05-15             12,12231             13,93414              7,20284             14,40425             13,09225             14,87427              5,33992              8,84785              6,54036              6,87612              5,27415             10,44547              8,51270             12,58684             11,31426              9,21559             14,86935             11,70281              6,28278             12,59560             10,95683              7,66337             14,84142              8,67692              5,61440              8,40672             13,33897              5,80292             12,31032             14,84223              5,38596             13,78672              8,69391             10,75064             14,87632
2024-05-16             14,83556             10,44244              8,33127              7,06582              7,64167              6,71301             13,14127              5,93034              7,42138              8,43359             12,36608              7,06227              6,33518             11,72877              8,84947             12,15935              8,91821              5,72943              6,73676             11,37952              8,11806             13,28866              9,35208              7,91417             12,31485             14,88123             14,79623              6,24236             11,49041              8,02858              7,50610              5,45643             14,17925             10,13835             14,67408
2024-05-17             14,33012             12,77277             11,93026              6,82288             10,77788              5,64754             11,36188              5,18306              7,83145              6,37382             12,91462              9,06243             14,78603             13,46370             14,80830             10,81830              7,66589             13,97908              8,82870             13,67773             11,09462             10,16515              5,03357             11,87935             12,22700             14,02296             12,25201             13,32159              9,24019             14,87181             13,41829             14,75547             10,73398              5,50292             14,24347
2024-05-18             10,41280             14,42669             11,30729             11,43377              8,01679             14,32706              7,71770             10,70766              8,42843             12,18880              6,36413             11,62690             11,51297             13,50552              7,72279             10,74195              8,25340             14,24063              8,28707              7,28693              5,56032              8,81755             12,73608             13,10956             10,32903              8,56528              5,71213              8,07720              6,00832             10,12256              8,57861             14,72768             12,97242             14,12261             11,58662
2024-05-19             13,34788              9,45467             13,17984              5,09739             12,49719             11,38444             11,09939             12,95763              9,32473             13,19502              8,09581              6,36116             13,43794             13,57544             10,58006             12,84778             13,14506             12,86444              9,19013             13,67432             12,64938             11,61295             11,50068             13,48325              5,53840              6,55932              6,56006              6,21250             14,20580             10,02335              7,98487             14,74477              7,48448             10,11421             11,35583
2024-05-20             13,27368             10,75871             10,21200             11,53019              9,64587              7,72470              5,69463              9,92195              9,09429              9,11161             13,58479              6,15155              7,77322             10,16525              5,90259             14,09223             11,35392             11,36332              5,96403              7,88492             12,09735             11,22773              6,44794             14,04534             10,54573              6,44904              7,06081             12,92802              7,84773              7,08741             14,31114             13,70268             11,35909             14,70078              6,70753
2024-05-21              9,02572             11,17733              7,21044             12,29922              5,70084             13,17091              7,89405              9,07794              5,94719              9,74067             12,52270             11,86717              6,61379              9,64429             11,56308             12,79692             14,48818             14,01008              5,95134              9,69754             12,96316              6,64002             11,96716             12,94306              6,45400              8,66219             11,82509             11,53731              7,08733              7,90521             10,60279             13,91413              7,14036             14,67128             13,82250
2024-05-22             14,89066              9,11206             14,65394              8,73733              5,41759              6,25983             11,50236             11,59935              9,62181              8,26218             13,22545             11,44437             10,94793             11,62766             11,94370             14,87104              9,06639             13,28838              5,53465             10,08924             11,43564              5,96551             13,97197             12,80254              6,87317             12,24339             14,75400             10,33161              9,46311              6,89467              7,03057             10,10439             13,69298              8,87202              8,52022
2024-05-23             14,03149              5,71854             10,79519              7,29755              8,28423              8,78592              6,59177              6,36492             12,66615             14,90671             14,68760              7,42942              5,02645             13,65368             13,78269             12,41794              7,71424             12,66177              7,24583             11,62507             12,45008              6,19588              8,59384              9,38098              6,60637             11,50969              7,60868             14,22079             14,73052             13,80850              7,87715             10,41980              7,49817             12,24177             11,72830
2024-05-24              9,17509             13,62064             12,18061             10,93568             13,38067             13,59226              8,75172             13,69146              7,48516             11,69287             10,85015             13,29723             12,10545              5,76954             13,61590              5,91969             14,72106             13,77244              9,81587             10,01860              5,12030              8,21959             10,62718              6,73727              9,27674             14,93611              9,21934              8,19987              7,82422              5,16098              7,01326             11,05688             11,85031             14,87598              6,01765
2024-05-25             13,71655             11,25234             12,74305              5,49620             14,76953             14,53301              7,70786             13,39991             10,88489              9,22964             12,77652              6,75517              8,17251             12,89310              5,35327             12,41679              5,07865              6,12489             12,67588             11,12352              5,71483              8,18451              7,34303             13,61299              7,59893              5,85530             10,71042             13,13027             10,70288              7,25671             13,73243             11,88864              6,33178             12,66005              5,18946
2024-05-26             11,89345             11,62420              6,35022              7,27427              6,79212             11,11018             12,88578              9,26505              7,40433             13,68470              8,82170             11,84934             11,70638              7,51803             10,34589             12,14566              9,85212              5,92709             14,18040              7,22767             10,09376              5,20755              8,22815              9,52605              9,23351             13,09748             13,53711              9,34821             14,15172             11,04943              6,16273             14,40141              5,92420             12,80632             12,81983
2024-05-27             10,46813              9,92337             14,63670              9,57991             13,60329             13,09934              8,66234              9,36555             12,34957             12,78238              7,56990             12,08484             12,43137             12,37681             12,92483             12,57956             14,29088             14,04208              6,07205             14,97006             11,22917             12,26945              6,01964              9,44430              6,08680              8,91544             14,87621              6,35311             11,39650             14,90441              5,41599             11,84573              8,45269             10,08030              8,52451
2024-05-28             13,10185              8,14227              9,28966              9,87197             11,63225              8,83426             12,83080             12,92641              7,07386             13,34470             10,18298             12,07867             10,39174             10,36492              9,97974             12,01151              7,09213             11,31672             14,42531             10,68464              8,50898              9,07387             14,58900             14,58092              9,87592              9,24792              6,73804             13,57360              8,98778              6,48998              9,63127              5,34558             14,33971             13,14486             10,85479
2024-05-29             13,22848              5,26667              8,37669              6,29691             11,74094             13,46952             14,07323              6,07820             13,21643              9,73868             10,86173             13,73246             13,93495             12,92030              8,82607             12,79121             11,84589              6,73747             12,17352              5,10740             12,28233              7,89175             13,84953              6,19093             12,29950             12,79192             10,08115             14,26640             13,85297             11,93673             12,34852             12,99175              5,71530              5,05760              5,47043
2024-05-30              7,69933              7,75334             13,52662             14,10119              6,40153             11,44711              6,53457             12,12413             10,34960              6,69948              6,70362             14,16285             10,43844              6,44760              6,44224              8,50189             10,72920              7,16273             12,16060             12,48335             14,24768              9,63202             10,62345             11,71445             13,91164             11,73608              6,72045             10,56266              5,01980              7,75780             14,72776              7,94855              5,06990              5,60278              8,08701
2024-05-31              5,69588             12,04401              6,55430             12,74775             13,09801             12,46900             10,71353             14,62566              7,48192             14,68879             11,13591             14,45369             11,21984              6,09964              9,06937              9,99102              8,02223             14,74604             10,67146              9,62651             14,00432             11,81094             11,83041              9,76224             10,38096             14,34742              6,94143             12,48404             14,75468             13,28375             11,75777              8,92740              5,64442             11,19192             12,72432
2024-06-01              6,37312             13,19888             11,35145             14,03220             11,72300             13,83198             11,39158             13,26569             11,89708              6,47402              6,69447             14,59011             14,67596             13,43493              7,96169             11,54835              8,63649             14,64787              6,15142             13,89539              7,66284             14,06562              9,71810             12,43914             12,76263             12,36638             12,62766              6,08496             11,01150              5,40848              5,90553             13,86196              9,77977             14,80154              6,07479
2024-06-02              6,52979              8,58810             13,78691              8,88112              8,63595              5,26788              5,70731              8,50083              6,35417              9,47697             12,92817              6,67592             11,86105              8,03025             14,46855              5,84133             10,68994              7,19672             10,30521              6,28742             10,77140             10,24901             11,64087             13,53663             14,93508             10,94939              8,47855              6,75943             12,07641              8,67090             14,21201             13,11921             11,07364             12,33413             11,18348
2024-06-03             12,86020             11,28711             10,71314             11,60165             10,58764             10,32720             12,29645              8,62577              8,05783             10,39637             12,62732             10,13688              7,51683             10,47101              6,08130              6,51217              8,02691             10,34046             13,40845             10,13667             12,03246             14,63032             14,48851              6,09850              9,24991             12,96634              5,57168             13,08750             10,15665             11,21123             14,34224              6,33258             14,68552              6,49107             11,89662
2024-06-04              8,41051              6,12206              9,72194              6,86060              6,81498             10,98359              9,42892              9,67701             12,15853              7,20650              9,29966             12,87219              7,75002             13,64053              8,49927              5,62575              9,40381             10,96852              5,25598              7,54089              7,38509              5,77570             10,16075              6,40097             13,26056              9,97563             11,08641             14,53585              8,68239             14,62558              9,86173              6,26191              5,79441              8,68956              9,91093
2024-06-05             13,19351              8,98872             13,22281              5,39817             13,21152             11,67604             10,50631              7,37389             10,36213             12,29931             13,68680             14,34296              5,02743              9,04938              7,73231             10,36810             12,40771              9,58775              7,71932              6,78298             13,06090              5,53144              7,21182             13,25855              8,44430             10,43709              8,10307             13,85112             11,19959              7,40746              9,73392             12,47384              9,85334              6,37540             12,03067
2024-06-06              5,68558             11,67070             10,95518              8,54637             10,18825             13,24702             12,64758             12,41574             10,03208             12,73218             14,12452             10,62430              5,02248             12,64271             13,92957              6,20085              6,36124              8,89549             12,06168              7,04911              5,83818              6,41688              7,92872              6,13224              8,90554             14,54750              5,59790             13,30978             10,32977             13,58845             10,97735              5,08531              7,07100              8,49465              8,25860
2024-06-07             14,19739              6,17460              8,89418              9,83350             14,96990             11,92315              7,89709             13,78248             10,08919              9,19567             14,64128             12,50317              8,11858              6,38982              7,74339              9,43459              7,38074              5,90380             14,73651             10,49613             13,29899              8,16946              6,21495             11,08677              7,55699             13,67482             10,46362             10,55127             12,04541             12,29530             13,91589             14,03589              8,39501              5,25024              8,63468
2024-06-08             10,78927              5,93526              5,80490             14,11913             12,53983              7,03103             13,04016             12,47267             11,67383             12,91988              8,60685             13,39552             12,28627              6,64102              6,59849             13,46016              5,41204             13,02406             10,64513              8,64017             14,49731             14,63372              9,53471              8,01902             11,97682              8,83112             10,07404             12,52290             10,95176             11,32838             14,95207              9,25625              7,58996             13,99759              7,76277
2024-06-09             12,56456             13,96628             10,72145              6,86601             10,00998              8,00360             12,11797              8,13044              5,97488             14,81734             14,88549              5,44755              5,23484             11,02294              6,29504             13,86353              9,31337             14,24014             12,61428             12,27186              8,69311              6,78083              7,87957             14,10577              5,89514             12,80646              6,62512             14,13571             11,20617              7,61830              7,91057             14,79944             10,97679             10,70729              9,42867
2024-06-10             11,18884              6,23569              8,63775              7,91029              6,22675             11,26142             12,03029              6,33779             12,54080             10,40050             14,27666             14,88242              5,18748              7,17995             11,99976             11,13084              6,62716             14,21462             12,34459             11,89703             11,13258              9,57874             14,19392             12,96188             12,84670             14,48653              5,96695              5,47603             10,00711              6,62850              6,74019             11,14721             10,88894              7,07781             13,64552
2024-06-11              8,12372              6,33613             12,05644             13,91024             11,96272             12,89033              5,88189              6,18811             12,44368              7,98111             12,60962              6,42839              8,11302             10,90000              8,76775             13,62767             10,83827             10,13550             14,28552              8,07692             10,51200             11,95082              7,80726              9,84059              7,18739              9,22325              7,77758             12,83375              7,03469             10,49179              5,85978              5,79945             14,77392             13,62638             10,13029
2024-06-12             11,84700             10,83746             10,54214              5,76691              9,56529             13,59198              9,27326             11,93525              6,47318             14,94231             13,99034              8,95789              8,12496             12,40150             10,00724             13,47629              8,07787              8,72006              7,60520              9,33047             12,74296             13,44843             10,53701              5,06549             12,96628              6,77241              5,07098             14,86813              8,25152              6,53496             11,36110             10,83060              8,91404             14,80063             13,55570
2024-06-13             14,61216             10,69386              6,38981              7,33009             14,65316             10,88672              9,10398             11,83592             11,97398              5,85986              6,54976             11,47285             11,10758             13,61599              6,98810             11,89006             12,50912             10,27677             12,30801              9,37116             13,53554              7,70491             14,96706             10,11637             11,32855              8,36918             14,66700             13,98721              9,53924             13,16280              7,19656              9,12979             14,20171             14,22779              7,09665
2024-06-14             13,87255              8,59094              6,29851             12,42115             11,26913              9,53477             11,60149              7,06753              6,00857             12,73868              5,97499             14,18524             11,09708              6,26322              9,60316             14,64566             14,25237              6,49875              5,21584             13,99146              6,60397             14,97765             14,63110             11,70846              9,85765              5,76779             11,63859             10,51731             13,60725             13,22068             10,14363              6,28458              5,49529             11,15672              8,25037
